deepResearchRank,full_name,owner,url,domain,language,stars,forks,technicalValue,personalRelevance,priorityScore,isUTAS,isAI,isData,isGIS,isActive,isArchived,isStudent,isProductionReady,created_at,pushed_at,techStack,chineseDescription,recommendation
209,nirmitgarg/tasmania-plan,nirmitgarg,https://github.com/nirmitgarg/tasmania-plan,Other Tasmania,Unknown,0,0,36,20,23,false,false,false,false,true,false,false,false,2026-01-13T12:25:13Z,2026-01-13T12:47:43Z,,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
210,peter-job/tasmanian-pioneer-index,peter-job,https://github.com/peter-job/tasmanian-pioneer-index,Other Tasmania,Unknown,0,0,36,20,23,false,false,false,false,true,false,false,false,2026-02-01T06:39:34Z,2026-02-01T06:51:55Z,,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
211,Hildacareau/NDIS-Tasmania,Hildacareau,https://github.com/Hildacareau/NDIS-Tasmania,Other Tasmania,Unknown,0,0,29,20,21,false,false,false,false,true,false,false,false,2025-07-15T12:53:59Z,2025-07-15T12:57:16Z,,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
212,chrisatkinson9/RSV_Tasmania,chrisatkinson9,https://github.com/chrisatkinson9/RSV_Tasmania,Research Projects,Unknown,0,0,29,20,21,false,false,false,false,true,false,false,false,2024-04-04T02:34:09Z,2025-04-29T01:40:20Z,,塔斯马尼亚 RSV 系统发育树和可视化数据项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
213,RIKO910/tasmania-listing,RIKO910,https://github.com/RIKO910/tasmania-listing,Other Tasmania,PHP,0,0,29,20,21,false,false,false,false,true,false,false,false,2025-09-30T10:29:34Z,2025-09-30T10:30:22Z,PHP,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
214,Dasarijahnavi09/Tasmanian_backpacker_bot,Dasarijahnavi09,https://github.com/Dasarijahnavi09/Tasmanian_backpacker_bot,Other Tasmania,Python,0,0,29,20,21,false,false,false,false,true,false,false,false,2025-10-19T23:47:30Z,2025-10-19T23:49:45Z,Python,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
215,Powered-Technical/Geocache-Spirit_of_Tasmania,Powered-Technical,https://github.com/Powered-Technical/Geocache-Spirit_of_Tasmania,Other Tasmania,Unknown,0,0,29,20,21,false,false,false,false,true,false,false,false,2025-08-13T04:11:36Z,2025-08-13T04:11:36Z,,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
216,forsalebyhomeownerau/FSBO-listings-in-Tasmania,forsalebyhomeownerau,https://github.com/forsalebyhomeownerau/FSBO-listings-in-Tasmania,Other Tasmania,Unknown,0,0,29,20,21,false,false,false,false,true,false,false,false,2025-07-18T12:46:48Z,2025-07-18T12:46:48Z,,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
217,elpedroluis/tas_edge_radio,elpedroluis,https://github.com/elpedroluis/tas_edge_radio,Other Tasmania,C++,0,0,29,20,21,false,false,false,false,true,false,false,false,2025-09-17T11:11:04Z,2025-09-17T11:11:43Z,C++,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
218,stanley0212/TasEats,stanley0212,https://github.com/stanley0212/TasEats,Local Business / Tourism,Java,0,0,10,31,19,false,false,false,false,false,false,false,false,2021-04-03T14:11:54Z,2022-05-09T12:21:52Z,Java,面向塔斯马尼亚的外卖/餐饮配送应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
219,tassiemortgage/https-tassiemortgagebrokers.com.au-,tassiemortgage,https://github.com/tassiemortgage/https-tassiemortgagebrokers.com.au-,Local Business / Tourism,Unknown,0,0,10,31,19,false,false,false,false,false,false,false,false,2020-01-14T07:13:05Z,2020-01-14T07:13:07Z,,塔斯马尼亚房地产、房价、贷款或地产展示相关项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
220,pricesremovals/Interstate-Removalists-Movers,pricesremovals,https://github.com/pricesremovals/Interstate-Removalists-Movers,Local Business / Tourism,Unknown,0,0,10,31,19,false,false,false,false,false,false,false,false,2019-05-08T11:02:44Z,2019-05-08T11:02:44Z,,塔斯马尼亚本地商业、生活服务或市场类项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
221,mdsumner/L2-2022-04-tas,mdsumner,https://github.com/mdsumner/L2-2022-04-tas,Marine Science,R,0,0,22,17,17,false,false,false,false,false,false,false,false,2023-04-17T10:33:36Z,2023-04-18T11:45:26Z,R,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
222,web-helper/quit-tasmania,web-helper,https://github.com/web-helper/quit-tasmania,Web / App,PHP,0,0,10,26,16,false,false,false,false,false,false,false,false,2019-08-22T01:11:35Z,2019-08-19T08:41:31Z,PHP,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
223,jakedoren/lost-in-tasmania,jakedoren,https://github.com/jakedoren/lost-in-tasmania,Web / App,JavaScript,0,0,10,26,16,false,false,false,false,false,false,false,false,2021-06-26T17:49:09Z,2021-06-27T20:38:55Z,JavaScript;JavaScript / Web,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
224,Sienna-Cowen/a.checkers-photography,Sienna-Cowen,https://github.com/Sienna-Cowen/a.checkers-photography,Web / App,CSS,0,0,10,26,16,false,false,false,false,false,false,false,false,2018-01-29T01:10:17Z,2020-08-27T10:31:14Z,CSS,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
225,failure-driven/railscamp-hobart-2018-slides,failure-driven,https://github.com/failure-driven/railscamp-hobart-2018-slides,Web / App,HTML,0,0,10,26,16,false,false,false,false,false,false,false,false,2019-01-08T10:27:02Z,2019-04-26T21:53:15Z,HTML,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
226,justinmathias/TasmaniaVegetation,justinmathias,https://github.com/justinmathias/TasmaniaVegetation,Other Tasmania,R,0,0,22,12,14,false,false,false,false,false,false,false,false,2023-02-23T04:40:36Z,2023-05-23T18:23:05Z,R,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
227,Amilwickz/University-of-Tasmania-Ember-Project,Amilwickz,https://github.com/Amilwickz/University-of-Tasmania-Ember-Project,Other Tasmania,Python,0,0,22,12,14,false,false,false,false,false,false,false,false,2023-05-19T00:29:57Z,2023-05-31T06:43:46Z,Python,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
228,SorkinType/TASSchoolHandAustralia,SorkinType,https://github.com/SorkinType/TASSchoolHandAustralia,Other Tasmania,Python,0,0,22,12,14,false,false,false,false,false,false,false,false,2023-09-30T03:37:13Z,2024-03-20T11:10:57Z,Python,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
229,GitToby/awesome-tasmania,GitToby,https://github.com/GitToby/awesome-tasmania,Web / App,TypeScript,0,0,0,26,12,false,false,false,false,false,true,false,false,2023-12-13T23:23:20Z,2024-01-03T23:46:48Z,TypeScript;JavaScript / Web,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：仓库已归档，主要作为历史或参考资料。
230,Jlonndi/Tasmanian-RolePlay,Jlonndi,https://github.com/Jlonndi/Tasmanian-RolePlay,Other Tasmania,Unknown,1,0,14,12,11,false,false,false,false,false,false,false,false,2022-01-05T10:30:20Z,2021-12-15T11:16:40Z,,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
231,olavobm/ITEnergySoutheastTasmania,olavobm,https://github.com/olavobm/ITEnergySoutheastTasmania,Other Tasmania,Unknown,0,0,10,12,10,false,false,false,false,false,false,false,false,2021-01-13T03:08:13Z,2021-01-13T03:08:15Z,,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
232,BR-JB-JR-Group-Projects/BWH-002-UHack-2018,BR-JB-JR-Group-Projects,https://github.com/BR-JB-JR-Group-Projects/BWH-002-UHack-2018,Other Tasmania,Java,0,0,10,12,10,false,false,false,false,false,false,false,false,2018-07-12T23:33:14Z,2018-07-14T22:03:10Z,Java,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
233,KathyReid/round-tasmania-palette,KathyReid,https://github.com/KathyReid/round-tasmania-palette,Other Tasmania,Unknown,0,0,10,12,10,false,false,false,false,false,false,false,false,2017-01-19T00:11:53Z,2017-01-19T00:18:23Z,,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
234,NakedJack/GreenGrowing,NakedJack,https://github.com/NakedJack/GreenGrowing,Education / UTAS,C++,0,0,10,12,10,false,false,false,false,false,false,false,false,2019-09-08T01:37:21Z,2019-09-08T01:41:16Z,C++,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
235,joshgillies/tasmanian-developer-network,joshgillies,https://github.com/joshgillies/tasmanian-developer-network,Other Tasmania,Unknown,0,0,10,12,10,false,false,false,false,false,false,false,false,2014-02-13T02:57:39Z,2014-02-13T02:57:39Z,,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
236,mjec/wwc-tasmania,mjec,https://github.com/mjec/wwc-tasmania,Other Tasmania,Python,0,0,0,12,6,false,false,false,false,false,true,false,false,2014-11-24T09:47:25Z,2017-07-22T21:21:01Z,Python,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：仓库已归档，主要作为历史或参考资料。
